<version>,<mean_time>,<total>
1005,2.17655,106.651
1006,2.17545,106.597
1007,2.17627,106.637
1008,2.18284,106.959
1009,2.178,106.722
1010,2.18606,107.117
1011,2.18831,107.227
1012,2.18702,107.164
1013,2.193,107.457
1014,2.19533,107.571
1015,2.19641,107.624
1016,2.19627,107.617
1017,2.20114,107.856
1018,2.20318,107.956
1019,2.20359,107.976
1020,2.20641,108.114
1021,2.20445,108.018
1022,2.20808,108.196
1023,2.21716,108.641
1024,2.21816,108.69
1025,2.22024,108.792
1026,2.22741,109.143
1027,2.22308,108.931
1028,2.23151,109.344
1029,2.23,109.27
1030,2.23104,109.321
1031,2.22939,109.24
1032,2.23222,109.379
1033,2.23331,109.432
1034,2.23567,109.548
1035,2.23767,109.646
1036,2.24751,110.128
1037,2.24602,110.055
1038,2.24786,110.145
1039,2.24869,110.186
1040,2.25531,110.51
1041,2.26192,110.834
1042,2.25467,110.479
1043,2.25553,110.521
1044,2.25778,110.631
1045,2.25822,110.653
1046,2.26396,110.934
1047,2.26159,110.818
1048,2.26553,111.011
1049,2.26918,111.19
1050,2.26957,111.209
1051,2.27337,111.395
1052,2.2718,111.318
1053,2.27237,111.346
1054,2.27506,111.478
1055,2.27896,111.669
1056,2.27592,111.52
1057,2.28086,111.762
1058,2.28437,111.934
1059,2.28286,111.86
1060,2.28106,111.772
1061,2.28422,111.927
1062,2.28898,112.16
1063,2.29063,112.241
1064,2.29396,112.404
1065,2.29253,112.334
1066,2.29718,112.562
1067,2.29973,112.687
1068,2.30694,113.04
1069,2.30004,112.702
1070,2.30308,112.851
1071,2.29945,112.673
1072,2.31231,113.303
1073,2.31216,113.296
1074,2.31153,113.265
1075,2.3168,113.523
1076,2.31508,113.439
1077,2.31782,113.573
1078,2.32145,113.751
1079,2.32049,113.704
1080,2.32222,113.789
1081,2.32749,114.047
1082,2.32631,113.989
1083,2.32649,113.998
1084,2.33104,114.221
1085,2.3308,114.209
1086,2.33896,114.609
1087,2.34004,114.662
1088,2.33965,114.643
1089,2.33629,114.478
1090,2.34347,114.83
1091,2.34163,114.74
1092,2.34322,114.818
1093,2.34296,114.805
1094,2.34873,115.088
1095,2.3571,115.498
1096,2.35641,115.464
1097,2.35916,115.599
1098,2.35571,115.43
1099,2.35837,115.56
1100,2.3632,115.797
1101,2.36043,115.661
1102,2.36569,115.919
1103,2.36569,115.919
1104,2.36686,115.976
1105,2.37159,116.208
1106,2.37251,116.253
1107,2.3708,116.169
1108,2.37257,116.256
1109,2.37771,116.508
1110,2.37769,116.507
1111,2.37492,116.371
1112,2.38735,116.98
1113,2.3852,116.875
1114,2.38778,117.001
1115,2.38512,116.871
1116,2.3929,117.252
1117,2.39504,117.357
1118,2.40278,117.736
1119,2.39637,117.422
1120,2.40116,117.657
1121,2.40149,117.673
1122,2.41788,118.476
1123,2.40955,118.068
1124,2.40404,117.798
1125,2.4119,118.183
1126,2.40927,118.054
1127,2.41802,118.483
1128,2.41465,118.318
1129,2.41922,118.542
1130,2.4189,118.526
1131,2.42037,118.598
1132,2.42106,118.632
1133,2.42073,118.616
1134,2.41845,118.504
1135,2.42661,118.904
1136,2.42869,119.006
1137,2.42971,119.056
1138,2.42849,118.996
1139,2.43492,119.311
1140,2.43759,119.442
1141,2.43933,119.527
1142,2.43686,119.406
1143,2.43971,119.546
1144,2.44665,119.886
1145,2.44763,119.934
1146,2.44296,119.705
1147,2.44447,119.779
1148,2.44696,119.901
1149,2.44555,119.832
1150,2.44865,119.984
1151,2.45363,120.228
1152,2.45245,120.17
1153,2.46649,120.858
1154,2.46369,120.721
1155,2.45947,120.514
1156,2.46324,120.699
1157,2.46947,121.004
1158,2.46312,120.693
1159,2.46724,120.895
1160,2.47314,121.184
1161,2.47453,121.252
